Name,Location
돈암동 해인사,서울시 성북구 돈암동 83-2
동국사,충남 아산시 신인동 산55-1번지
동담암,경기도 수원시 권선구 오목천동 산 4-1
동덕사,부산시 진구 부전1동 405-22
동선사,강원도 원주시 개운동 산1번지
동연사,제주도 성산읍 시흥리
동원사,광주시 동구 지산동 1-6번지
동천사,경북 영주시 봉현면 오현리 840-1
동해사,대구시 동구 백안동 637번지
동화사,대구시 동구 도학동 35
득산달마선원,경북 구미시 송정동 467-3
록유사,강원도 강릉시 왕산면 대기2리 3반
마니굴(창건주),경남 진주시 수곡면 자매리 244
마니선원,서울시 마포구 아현동 고려 아카데미 1502
마애사,경남 한안군 군북면 하림리 133
마하 기원정사,부산 금정구 중앙대로 2409
마하사,부산시 연제구 연산9동 463-39
만덕정사,경남 밀양시 산내면 봉의리 476-1
만불사,경북 영천시 북안면 고지리 산46
명령사,경기도 화성시 매송면 원평1리 127-4
명령사,경기도 수원시 권선구 매교동 133-28
명심선원,경남 고성군 마암면 삼락리 97
명지암,서울시 노원구 상계동 101-178
명지큰절,부산시 강서구 명지동 1993-4번지
목림선원,울산광역시 남구 무긔1동 1252-4
목림선원,경북 성주군 수륜면 봉양2리 298번지
몽불사,전북 고창군 대산면 대장리 산 100
묘원사,경북 상주시 청리면 청상리 110-2
묘적암,"경기도 안양시 만안구 만안로 77, 3층"
무궁암,경남 창녕군 성산면 정녕리 8
무극선원,광주시 남구 방림2동 81
무금사,경상북도 구미시 고아읍 이례로2길 33
무량사,광주광역시 남구 천변좌로 596-1
무량사,광주시 동구 충장로5가 43
무량사,충북 충주시 살피면 세성리 628
무량사,전남 곡성군 겸면 남양리 327-1
무량사,전남 나주시 송촌동 413
무량사,경남 김해시 장유면 내덕리 233-12
무량사,경남 양산시 원동면 화제리 1117-2
무량사,경북 경주시 남산동 978-2 (무량사)
무량사,광주시 남구 방림2동 81
무량사,광주시 동구 충장로 5가 43
무량사,서울시 노원구 상계4동 161번지
무량사,서울시 관악구 신림1동 419-33
무량암,광주시 북구 두암2동 124
무명암,강원도 영월군 하동면 예밀3리 산 127
무법정사,대구시 동구 도학동 189-1
무사암,경남 마산시 오등동 55-15
무사암,경남 마산시 자산동 325-1
무상사,충청북도 음성군 생극면 차생로310번길 14-4
무상사,경상남도 창녕군 남지읍 성사관동길 82-35
무상사,대구시 동구 신천4동 467-3
무상사,충남 당진시 송악읍 한진2길 35-41
무상사,인천시 남구 주안7동 1432-35호
무수사,충북 진천군 광혜원면 구암리길 401
무아지경정사,경기도 평택시 오성면 숙성3길 40-5
무영사,충남 연기군 서면 월하리2구 산 78-1
무영암,충남 연기군 남면 수산리 594번지
무유사,광주광역시 동구 지산2동 259-1
무진사,경북 의성군 단북면 이연4리
무차선원,부산광역시 부산진구 전포1동 308-34
무차선원,부산시 해운대구 반송2동 145
묵담사,전남 곡성군 오산면 가곡리 산136
문명암,강원도 영월군 하동면 예밀3리 산 127
문수암,경북 경산시 와촌면 대한리 129-2
문수암,부산시 수영구 광안4동 736-1
미륵사,대구시 동구 진인동 627
미륵자연사,경북 영천시 고경면 삼포리 785
미륵정사,경기도 양주시 광적면 비암리 731-11
미타사,제주시 오등동 1375-2
미타사,광주시 남구 방림2동 81-2번지
미타암,강원도 춘천시 남면 추곡리 33
바라밀선원,경기도 양평군 지평면 지평4리 480-2
반야사,경상남도 창원시 마산합포구 3·15대로 300
반야사,충북 영동군 황관면 백화산 반야사
반야사,경기도 양평군 청운면 용두리 16-1
반야사,경기도 용인시 포곡면 둔전리 158번지 3층
반야사,경기도 수원시 권선구 세류2동 563
반야사,인천시 남구 도화1동 572-5
반야암,부산시 북구 구포3동 1249-12
반야정사,부산시 사상구 감전2동 361-1
방암사,경남 하동군 양보면 운암리 산 52-1
백남사,충남 청양군 장평면 화산리 205-6
백단사,강릉시 포남동
백담사,경기도 양주시 장흥면 울대리 481-1
백련암,경남 김해시 주촌면 덕암리 752-1
백룡사,충청남도 공주시 반포면 봉곡리 12-4
백마사,경남 진주시 미천면 반지리 4번지
백마사,경상남도 산청군 신안면 중촌갈전로 93-34
백봉사,경북 문경시 마성면 신현1리 300번지
백암사,서울시 동작구 사당4동 267-4 2층
백연사,제주도 남제주군 남원읍 태흥리 1180
백운사,충북 음성군 삼성면 양덕리 1009-1
백운사,충북 청주시 상당구 용담동 118-1
백운사,경기도 안산시 단원구 원곡동 829 한일 나동 306호
백운사,광주시 동구 산수동 360-21
백천사,경남 사천시 백천동 112
백호선원,서울 강북구 삼양동(미아2동) 791-82호
백화사,경기도 여주시 강천면 도전리 1165-4
